weekday;inscription;name;address
DOMINGO;12122;VILA ALBERTINA DOMINGO;RUA MAESTRO BORTOLUCCI, S/N,VL ALBERTINA,SÃO PAULO
TERÇA-FEIRA;30546;JARDIM TREMEMBE TERÇA-FEIRA;RUA TEREZA BORTOLO, S/N,JD TREMEMBE,SÃO PAULO
QUARTA-FEIRA;40495;VILA NILO QUARTA-FEIRA;RUA DR CARLOS BASTOS ARANHA, 420,VL NILO,SÃO PAULO
QUARTA-FEIRA;40584;CASA DE PEDRA QUARTA-FEIRA;RUA CEL ESDRAS DE OLIVEIRA, S/N,JD TREMEMBE,SÃO PAULO
QUARTA-FEIRA;41530;TREMEMBE QUARTA-FEIRA;PC DONA MARIQUINHA SCIASCIA, S/N,TREMEMBE,SÃO PAULO
QUINTA-FEIRA;50407;EDU CHAVES QUINTA-FEIRA;RUA LILIENTAL, 317,TUCURUVI,SÃO PAULO
QUINTA-FEIRA;50482;VILA MAZZEI QUINTA-FEIRA;RUA MANOEL GAYA, S/N,VL MAZZEI,SÃO PAULO
QUINTA-FEIRA;50539;VILA ALBERTINA QUINTA-FEIRA;RUA ELIAS DE SOUZA PINTO, S/N,VL ALBERTINA,SÃO PAULO
SEXTA-FEIRA;60992;JARDIM JOAMAR SEXTA-FEIRA;RUA JOSINO VIEIRA GOES, S/N,JD JOAMAR,SÃO PAULO
SÁBADO;70360;TREMEMBE SÁBADO;RUA ALMEIDA MERCES, S/N,TREMEMBE,SÃO PAULO
SÁBADO;71960;JARDIM FONTALIS SÁBADO;RUA MANOEL PEREIRA ROSA, S/N,JD FONTALIS,SÃO PAULO
DOMINGO;10049;LAPA DOMINGO;RUA FABIA, 701,VL ROMANA,SÃO PAULO
DOMINGO;10430;SANTA EDWIGES DOMINGO;RUA AGAMENON MAGALHAES, 138,STA EDWIGES,SÃO PAULO
DOMINGO;10537;CAIOVAS DOMINGO;RUA DR COSTA JUNIOR, 35,AGUA BRANCA,SÃO PAULO
DOMINGO;10561;VILA JAGUARA DOMINGO;RUA PEDRO HENRIQUE DE O BRAGANCA,VL JAGUARA,SÃO PAULO
DOMINGO;11045;CENTRO INDUSTRIAL DO JAGUARE DOMINGO;RUA BARCELONA, 99,JAGUARE,SÃO PAULO
TERÇA-FEIRA;30082;ALTO DAS PERDIZES TERÇA-FEIRA;RUA MIN GODOY, 1261,PERDIZES,SÃO PAULO
TERÇA-FEIRA;30198;VILA ROMANA TERÇA-FEIRA;RUA SEPETIBA, 510,VL ROMANA,SÃO PAULO
TERÇA-FEIRA;30341;VILA ANASTACIO TERÇA-FEIRA;RUA BARTOLOMEU BUENO, 161,VL ANASTACIO,SÃO PAULO
TERÇA-FEIRA;30554;JAGUARE TERÇA-FEIRA;RUA ROLANDIA, S/N,JAGUARE,SÃO PAULO
TERÇA-FEIRA;30635;VILA PIAUI TERÇA-FEIRA;RUA FLOR CACHOEIRA E S DO TEIXEIRA, 48,VL PIAUI,SÃO PAULO
QUARTA-FEIRA;40118;SUMAREZINHO QUARTA-FEIRA;RUA CAYOWAA, 2008,SUMAREZINHO,SÃO PAULO
QUARTA-FEIRA;40134;ALTO DE VILA POMPEIA QUARTA-FEIRA;RUA TAVARES BASTOS, 901,VL POMPEIA,SÃO PAULO
QUARTA-FEIRA;40282;PIO XI QUARTA-FEIRA;RUA SALES JUNIOR, 555,ALTO DA LAPA,SÃO PAULO
QUARTA-FEIRA;40363;VILA JAGUARA QUARTA-FEIRA;RUA CACHOEIRA DO SUL, 26,VL JAGUARA,SÃO PAULO
QUARTA-FEIRA;40487;VILA HAMBURGUESA QUARTA-FEIRA;RUA LAURO MULLER, 12,VL HAMBURGUESA,SÃO PAULO
QUINTA-FEIRA;50105;JOAO RAMALHO QUINTA-FEIRA;RUA AIMBERE, 401,PERDIZES,SÃO PAULO
QUINTA-FEIRA;50253;AGUA BRANCA QUINTA-FEIRA;RUA SILVEIRA RODRIGUES, 38,VL ROMANA,SÃO PAULO
QUINTA-FEIRA;50300;ALTO DA LAPA QUINTA-FEIRA;RUA DOM JOAO V, 85,ALTO DA LAPA,SÃO PAULO
QUINTA-FEIRA;50369;VILA LEOPOLDINA QUINTA-FEIRA;RUA ALIANCA LIBERAL, 603,VL LEOPOLDINA,SÃO PAULO
QUINTA-FEIRA;50687;LAGEADO QUINTA-FEIRA;AV ARAICAS, 254,JAGUARE,SÃO PAULO
SEXTA-FEIRA;60259;VILA IPOJUCA SEXTA-FEIRA;RUA SALVADOR CARUSO, 705,VL IPOJUCA,SÃO PAULO
SEXTA-FEIRA;60437;VILA POMPEIA SEXTA-FEIRA;RUA MIN FERREIRA ALVES, 340,VL POMPEIA,SÃO PAULO
SÁBADO;70190;ALTO DE VILA POMPEIA SÁBADO;RUA BARAO DO BANANAL, 1865,VL POMPEIA,SÃO PAULO
SÁBADO;73903;CENTRAL PARK LAPA SÁBADO;RUA DOM ROMEU ALBERTI,LAPA DE BAIXO,SÃO PAULO
DOMINGO;10022;CONCORDIA DOMINGO;RUA CONSELHEIRO BELISARIO, S/N,BRAS,SÃO PAULO
DOMINGO;10057;MOOCA MODERNA DOMINGO;RUA DOS TRILHOS, S/N,BRESSER,SÃO PAULO
DOMINGO;10065;TOLEDO BARBOSA DOMINGO;RUA BELARMINO MATOS, S/N,QUARTA PARADA,SÃO PAULO
DOMINGO;10081;MAE DO CEU DOMINGO;RUA TUIUTI, 2753,TATUAPE,SÃO PAULO
DOMINGO;10138;PIRASSUNUNGA DOMINGO;RUA TEREZINA, 615,ALTO DA MOOCA,SÃO PAULO
DOMINGO;10464;VILA DIVA DOMINGO;RUA BUENOPOLIS, 62,VL DIVA,SÃO PAULO
TERÇA-FEIRA;30066;SILVA TELLES TERÇA-FEIRA;RUA DR CARLOS GUIMARAES, S/N,BELEM,SÃO PAULO
TERÇA-FEIRA;30074;MORAES BARROS TERÇA-FEIRA;RUA FIRMIANO PINTO, S/N,BRAZ,SÃO PAULO
TERÇA-FEIRA;30104;PARQUE DA MOOCA TERÇA-FEIRA;RUA CONDE PRATES, 10,PQ DA MOOCA,SÃO PAULO
TERÇA-FEIRA;30120;FERNANDES FALCAO TERÇA-FEIRA;RUA PIRES DE CAMPOS, 24,MOOCA,SÃO PAULO
TERÇA-FEIRA;30139;AGUA RASA TERÇA-FEIRA;RUA DECIO ABRAMO, 17,AGUA RASA,SÃO PAULO
TERÇA-FEIRA;30155;TATUAPE TERÇA-FEIRA;RUA ANDRE VIDAL, 22,TATUAPE,SÃO PAULO
